number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_gammar,params_hidden_dim,params_learning_rate,params_num_layers,state
0,0.6871837377548218,2024-03-29 20:20:02.642012,2024-03-29 20:20:10.154517,0 days 00:00:07.512505,8,True,0.060168636461104874,0.0019405014461531223,64,0.00010002917779872625,1,COMPLETE
1,0.6934787631034851,2024-03-29 20:20:10.154517,2024-03-29 20:21:05.096685,0 days 00:00:54.942168,16,True,0.4999381377286236,0.08274282109161571,256,5.762758740404145e-05,4,COMPLETE
2,0.6722210049629211,2024-03-29 20:21:05.097685,2024-03-29 20:23:02.981354,0 days 00:01:57.883669,2,True,2.515868269126198e-05,0.04134764891605418,128,0.009416812071231304,4,COMPLETE
3,0.5988316535949707,2024-03-29 20:23:02.982355,2024-03-29 20:24:51.837189,0 days 00:01:48.854834,4,True,0.17333624315206136,0.060696775932240155,256,8.906510642194027e-05,3,COMPLETE
4,0.6825525164604187,2024-03-29 20:24:51.838681,2024-03-29 20:24:55.846675,0 days 00:00:04.007994,8,False,0.3632417446365424,0.005758299885212583,64,0.0003101042382468203,1,COMPLETE
5,0.45900827646255493,2024-03-29 20:24:55.847683,2024-03-29 20:25:07.017440,0 days 00:00:11.169757,2,False,0.12220515889427463,0.008464083645636914,64,0.029892715001535078,1,COMPLETE
6,0.8020039796829224,2024-03-29 20:25:07.018440,2024-03-29 20:25:14.730675,0 days 00:00:07.712235,16,True,0.39116378217969133,0.010053547292748266,128,0.0509897607447069,1,COMPLETE
7,0.6798387765884399,2024-03-29 20:25:14.731675,2024-03-29 20:25:46.298042,0 days 00:00:31.566367,2,True,0.371489551924496,0.007098122223591293,64,2.8701936242617564e-05,2,COMPLETE
8,0.6874707341194153,2024-03-29 20:25:46.299042,2024-03-29 20:26:21.492874,0 days 00:00:35.193832,8,False,0.13410420171889365,0.06255256608051644,256,1.860842552751837e-05,4,COMPLETE
9,0.6618267297744751,2024-03-29 20:26:21.493874,2024-03-29 20:26:26.524157,0 days 00:00:05.030283,8,False,0.23722358277021033,0.042235348141664165,64,0.0005312951026736342,2,COMPLETE
10,0.45650073885917664,2024-03-29 20:26:26.525159,2024-03-29 20:26:42.568022,0 days 00:00:16.042863,2,False,0.1086799125470016,0.0010831571205343095,64,0.0057098297951757,2,COMPLETE
11,0.5585120320320129,2024-03-29 20:26:42.569022,2024-03-29 20:26:58.504428,0 days 00:00:15.935406,2,False,0.11824896212339527,0.001413202380367337,64,0.005866244941668138,2,COMPLETE
12,0.7092333436012268,2024-03-29 20:26:58.504428,2024-03-29 20:27:21.236970,0 days 00:00:22.732542,2,False,0.22894587299785982,0.0029029355565735855,64,0.09679426058824481,3,COMPLETE
13,0.4385209083557129,2024-03-29 20:27:21.237971,2024-03-29 20:27:32.280614,0 days 00:00:11.042643,2,False,0.06264682766903676,0.016770480041825547,64,0.0037452663026972836,1,COMPLETE
14,0.5925348997116089,2024-03-29 20:27:32.281615,2024-03-29 20:27:41.216507,0 days 00:00:08.934892,4,False,0.013718225027291961,0.017752489020495553,64,0.0029021990401666945,2,COMPLETE
15,0.44533592462539673,2024-03-29 20:27:41.217507,2024-03-29 20:28:16.270605,0 days 00:00:35.053098,2,False,0.07202945043593913,0.021864135968330888,128,0.0021219021498089853,3,COMPLETE
16,0.4032110869884491,2024-03-29 20:28:16.271605,2024-03-29 20:28:51.127206,0 days 00:00:34.855601,2,False,0.05515949503394518,0.019724823270711223,128,0.0015221836166766482,3,COMPLETE
17,0.47172462940216064,2024-03-29 20:28:51.127709,2024-03-29 20:29:26.072603,0 days 00:00:34.944894,2,False,0.294351355494737,0.017128516088316312,128,0.0009781722726228002,3,COMPLETE
18,0.6708745360374451,2024-03-29 20:29:26.073604,2024-03-29 20:29:33.038046,0 days 00:00:06.964442,16,False,0.04845228648495515,0.004213318436670281,128,0.019971980366838445,3,COMPLETE
19,0.574677586555481,2024-03-29 20:29:33.039046,2024-03-29 20:29:53.024509,0 days 00:00:19.985463,4,False,0.1607320252440586,0.024882290605925075,128,0.0002840893214312741,4,COMPLETE
20,0.4291456341743469,2024-03-29 20:29:53.025674,2024-03-29 20:30:07.185310,0 days 00:00:14.159636,2,False,0.20543710305177512,0.010329909013604689,128,0.0018214595126525414,1,COMPLETE
21,0.4325522184371948,2024-03-29 20:30:07.186310,2024-03-29 20:30:21.272376,0 days 00:00:14.086066,2,False,0.1941279228237285,0.010668861185115631,128,0.0018142186870213576,1,COMPLETE
22,0.4643791913986206,2024-03-29 20:30:21.273381,2024-03-29 20:30:30.711145,0 days 00:00:09.437764,2,False,0.19349810962591343,0.011731296657298142,128,0.001555121010618504,1,COMPLETE
23,0.4303560256958008,2024-03-29 20:30:30.712146,2024-03-29 20:30:46.830481,0 days 00:00:16.118335,2,False,0.28582801553124704,0.03199623717195558,128,0.0005536245109748055,2,COMPLETE
24,0.43845972418785095,2024-03-29 20:30:46.830481,2024-03-29 20:31:11.235744,0 days 00:00:24.405263,2,False,0.2892901034768197,0.02983474751500558,128,0.0004835656769659767,2,COMPLETE
25,0.44797366857528687,2024-03-29 20:31:11.237746,2024-03-29 20:31:50.137894,0 days 00:00:38.900148,2,False,0.2978723686176685,0.033688148304701585,128,0.0008759596124596612,3,COMPLETE
26,0.46849966049194336,2024-03-29 20:31:50.139894,2024-03-29 20:32:11.425900,0 days 00:00:21.286006,2,False,0.43023067029093204,0.005039811143989808,128,0.00025424700895159726,2,COMPLETE
27,0.6736186742782593,2024-03-29 20:32:11.426900,2024-03-29 20:32:21.892093,0 days 00:00:10.465193,16,False,0.3262115746244245,0.012623142771232207,128,0.012549205364703761,3,COMPLETE
28,0.578942060470581,2024-03-29 20:32:21.893093,2024-03-29 20:32:37.119002,0 days 00:00:15.225909,4,False,0.21701853048296343,0.03955307783792446,128,0.0007623857067160188,2,COMPLETE
29,0.6605939269065857,2024-03-29 20:32:37.119002,2024-03-29 20:32:50.637818,0 days 00:00:13.518816,8,True,0.25875926182781517,0.0028029805373574403,256,0.00015290990728003212,1,COMPLETE
30,0.4733576476573944,2024-03-29 20:32:50.638818,2024-03-29 20:33:14.937969,0 days 00:00:24.299151,2,False,0.25468178437177447,0.015264797597620956,128,0.0001375365788304898,2,COMPLETE
31,0.42828065156936646,2024-03-29 20:33:14.938969,2024-03-29 20:33:28.962927,0 days 00:00:14.023958,2,False,0.19624714080683497,0.024625688491985383,128,0.0015938654808401636,1,COMPLETE
32,0.45562589168548584,2024-03-29 20:33:28.963928,2024-03-29 20:33:43.155501,0 days 00:00:14.191573,2,False,0.16276991671233124,0.02112333429151508,128,0.0011367186337369677,1,COMPLETE
33,0.4068277180194855,2024-03-29 20:33:43.156502,2024-03-29 20:33:55.756619,0 days 00:00:12.600117,2,False,0.32972479714187475,0.08977797870469176,128,0.004107800663942983,1,COMPLETE
34,0.43096622824668884,2024-03-29 20:33:55.757121,2024-03-29 20:34:28.373206,0 days 00:00:32.616085,2,True,0.44670041940968663,0.0745341250519667,128,0.004563110113536633,1,COMPLETE
35,0.6656002998352051,2024-03-29 20:34:28.373206,2024-03-29 20:34:33.012742,0 days 00:00:04.639536,16,False,0.3493201140754536,0.09814204328670417,256,0.010070016360195614,1,COMPLETE
36,0.4771443009376526,2024-03-29 20:34:33.013742,2024-03-29 20:35:05.101713,0 days 00:00:32.087971,2,True,0.09538288923880274,0.04220709581332044,128,0.003039278038977826,1,COMPLETE
37,0.44927895069122314,2024-03-29 20:35:05.102714,2024-03-29 20:35:14.324418,0 days 00:00:09.221704,2,False,0.03384852978647063,0.0552082261391238,128,0.008316249706422878,1,COMPLETE
