user,star,sumary,country&time,kind item,image,comment
S. Huang,5,"Wired, Steelseries Arctis 5 Review","Reviewed in the United States on July 3, 2019",Color: BlackStyle: Arctis 5Verified Purchase,0,"After vacuuming up the cord of my very old Razer Cacharias (?) headset, it finally declared its death when my Discord group mentioned I was cutting in and out, and so it was time to replace my headset. For a very terrible 3 months, I bought a discount headset with plasticized ear cups, and while I could hear and communicate, it was very uncomfortable. I was looking into other Razer alternatives but didn't really feel as if their features were as interesting as the Steelseries, and I also had a few recommendations for Steelseries from others. Attach to it RGB function (my tower is needlessly fluorescent) and I decided to plop down the funds for this wired version. I've never been a fan of wireless, just something about connection and not having to worry if the wireless is up in a clutch moment is just my style.

The headset is very stylish. I'm a small person, with an average size head and average but slightly pokey-outey ears. The fabric and the stretch fabric on the headset is very comfortable and breathable. It angles just a touch forward when I wear it, which is not noticeable after a few minutes. The retractable microphone works very well, and my raid leader says I'm very crisp - definitely not the case with my knockoff cheapo headset.

Length of the plug leading from the headset to the dial toggle is very generous, as well as from the dial toggle to the computer. Due to USB hogging I have to use the top of my tower USBs, but no problem at all, very forgiving in length. I haven't had it fall out yet but I'm not headbanging while raid healing. The dial toggle is very cool! I can use it to easily mute out game noise if there's an issue, or vice versa if everyone is just talking about nothing and I want to tone them down. At neutral, it's equal for both.

RGB functionality is initially a bit complicated looking but is through Steelseries' app that you can download, and you can make separate profiles. I have a violet/blue shifting thing for my Tauren Shadowpriesting and have several other profiles - glowing gold for my paladin, green for druid, etc. And there are sound function toggles.

Sound is great, crisp, and no reverb at all. The surround function at least in World of Warcraft is excellent and positionally is usually great, although for some reason sometimes when I'm mounting up on a specific mount the sound will originate more to the left, but, this isn't always, and maybe is a function of my setup.

I especially like this for Youtube progressive house mixes, bass turned up! The noise cancellation is not really cancellation, but the muffling is enough that it takes out more ambient noise. I live by a freeway though, so there's nothing killing that noise. Definitely softer.

I really like this headset. I would recommend if you're in the market, give this a good try, I hope mine has a lot of life left in it. It's a lightweight headset and the cords are fairly lightweight but give you great range.

Also a good wow factor, if anyone is watching you game, and I can make it match my tower RGB, hah hah. The little things, eh?"
Annie,5,Solid budget headset,"Reviewed in the United States on March 1, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,"A rambunctious pug broke my husband's headset and he didn't want to get a new one with our newborn on the way. This headset was a pretty good price. Used for PC gaming. We were surprised by it's sound quality, comfort and mic quality. Decent headset for price."
Terry Riner,5,"Another victory, another Steel Series","Reviewed in the United States on December 19, 2022",Color: BlackStyle: Nova 3Verified Purchase,0,"The best price to performance wired option for spatial audio and competitive gaming.

The Good:
Works with every device via 3.5 (aux) or USB.
Plenty of included cord length.
Great noise-canceling mic
Exceptional Almighty spatial audio (the highs, mids, and lows are all very present and accounted for).
Excellent build quality.
Durable and easily adjusted.
Customization: Leds and EQ tunings using the software on PC.

The Neutral
At this price a wired headset should include a case, stand, or something—anything really.
The bass is average when not using custom preset on PC and it's lacking over 3.5.
The 40mm Steel Series drivers (like all their headsets) would all be better if they were larger (50mm).
It's average at cancelling other noises around you (ie busy traffic, barking dog, etc.)

The bad:
Usb and internal DAC as well as LEDs don't work on Xbox. (You can plug up the USB wasting a port just to get the lighting, but why?)

You might as well buy the Arctis Nova 1's if you don't have a device to take advantage of the USB connection. If you have multiple devices and most (or the primary) can use the USB, then this is the best option (at this price point).

If you want Hi-Fi audio, then the Arctis Nova Pro Wired is what you want (probably the best cans I've owned that's both decent at scratching the audiophile itch and delivering exceptional gaming audio―everything just sounds better!)

For wireless there's the new Nova 7's which are great, but if you want to have two systems hooked up simultaneously I highly recommend the Nova Pro Wireless.

I love the new Nova lineup, but I do believe SS needs to start offer larger drivers, include more accesories, or charge Less. I will be reviewing the Nova Pro as well.

Thanks for reading!

Thanks for reading this quick review"
E.J.,5,Great headphones for great price👌,"Reviewed in the United States on September 13, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"Waited till they were on sale (50% off) to buy and was not disappointed in quality! It's got the cords for diferent platforms but I usually play PS5 online shooter games, so being able to hear other players/npcs foot steps sneaking around me is a must and with these I can hear exactly where they are before they get too close. Mic sounds clear and the cushions muffles a decent amount of sound from outside (have to lift one side off if someone is talking to me in the room to hear the words lol). They are also soft enough to keep on your ears for hours of gaming or listening to music if you wanted without feeling discomfort, the head strap is a nice touch for extra comfort. I really can't find anything wrong with them so for the price and quality I definitely recommend! Just watch the volume cause I almost blasted my ears off when I first tested them out😂"
April,5,Good sound quality for gamers,"Reviewed in the United States on January 25, 2024",Color: BlackStyle: Arctis 5Verified Purchase,0,"I gifted this to a friend as I know he's really into the gaming scene. He said the sound quality really helped to improve his experience (he said it was easier to hear footsteps in game). He also mentioned that it has a software that helps to customize sound experience and has a few presets for the games he likes to play (like VALORANT). He can lower sounds that he doesn't want to hear and elevate footstep sounds. He also likes that it has a really long wire so he can walk around to get things while playing. From what I've heard, it doesn't really help with noise canceling but he wasn't looking for noise canceling so it worked out. Overall a really great purchase and he's still using it after a year."
Jacob L.,5,Wanted To Wait A Few Months Before Writing This Review,"Reviewed in the United States on July 22, 2020",Color: BlackStyle: Arctis 5Verified Purchase,0,I was recommended this brand of headphones. I loved the face that it had RGB lights on each cup. I am a RGB fanatic. I pulled the trigger on the wired ones. I didn't want Bluetooth especially for gaming. I love how long the cord is. That is awesome. Now I def don't like the type of connection that goes from the DAC to the actual headphones. Its a unique type connection. As for sound quality these are amazing. Especially in COD it sounds like you actually there. For music it sounds awesome. Now def download the software. And def turn on 7.1 Surround sound. These sound horrible with out that on. They sound like tin cans. Equalizer is really good. I love that you can boost up dialogue and bass. Great for music. Not so great for video games. As when you boost the bass video games gets drowned with bass. My issue is how flimsy sometimes the connection to the actual headphones are. Theres times where I move my head and the connection seems to go in and out. Audio sounds far away. But just a tight push and it works with no issues. Idk it could just be me but I dont know how these are rated as the best mic in gaming. Im sorry but I have heard ASTRO headphones that are 30 bucks sound better. I def use a Condenser XLR mic. I dont use the mic on this headset at all. For the price I paid I def like these. I would buy them again. And honestly I would recommend these to anyone.
Jon,5,"Great headset, shite software","Reviewed in the United States on September 14, 2023",Color: BlackStyle: Nova 3Verified Purchase,1,"I just got this, for me personally out of my 5 headsets I've had in the last 3 years this is the best, light and comfortable, ok-ish customisation in the gg software, not many preset sound modes, but smiley worked best for me, coming from steel series arctis 5, arctis prime and skull candy slyr pro this for me is the best I've had.
Insane directional audio, layers of in game sounds and music is amazing.

10/08/23
wanted to update, this headset is set apart from others with the software, unfortunately the gg software is so massive and resource intensive it made my 7900x/32gb ram pc unplayable on any game, unless steelseries trims and optimizes their software dont bother with their headsets"
Tristan,5,Incredible software and the cleanest looking headset I've owned.,"Reviewed in the United States on January 21, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,"After owning the headset for a few months, the only hiccups I've ever had regarding it was with the RGB. The software wasn't changing the colors for a while, but when I got around to fixing it I just had to tweak a few settings to fix it.

With the cons out of the way, this headset are by far the best I've ever owned. The unboxing experience was very memorable, the design of them are perfect, and it's the most comfortable headset I've had the pleasure of wearing (especially with my glasses on). And that's not even getting to the audio and software. The software that you download to adjust the headset is literally a must have if you want these to sound their best, but when you download it you'll be in for a surprise.

The software itself comes with almost anything a gamer could want from it. There's clipping software that's actually really good and efficient, there's giveaways they host for different games, and even an aim trainer for competitive gamers. The audio itself isn't noticeably better than any other headset I've used, but with the software it's able to achieve new heights. This easily blows any other headset out of the water that I've used in the past."
Carol,5,They're great,"Reviewed in the United States on March 12, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,Bought as a gift for my boyfriend and these did not disappoint. They're comfy but the cables without an extender the headphones came with might be too short for some people's likings
Duane Goodman,5,Very pleased,"Reviewed in the United States on February 25, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,Shipped faster then expected! Sound quality and comfort are great! The lights worked perfect! The stickers were a nice bonus as well
